n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
3,0.673237581466075,0.689675516224189,0.744627840674989,1,3,2,0.818057296249942,0.471197039705537,0.341070380552956,-2.33333333333333,0.293204440441695,0.744627840674989,0.894837758112094,1,LIMIPAD,SN217,O
6,1.06305102795545,0.409675704412547,0.77516268725638,1,6,5,1.38890508508388,0.704840599396127,0.433033490589625,-1.77234266056384,0.154191280724648,0.77516268725638,0.720680489101542,0.866241360978203,VIVMAD,SN217,N
6,1.04290302499629,0.569378676998135,0.659235930517828,1,6,5,1.18119222096069,0.607569372108747,0.973990061170653,-0.737876801614088,0.270916753469504,0.659235930517828,0.758932414980628,0.932845458458889,VIVPAD,SN217,N
4,0.344984234673643,0.953659070990359,0.165122050787716,1,4,3,0.228907767903562,0.0895411379765125,0.749056393697855,-1.68813242457257,0.880611816031317,0.165122050787716,0.981485539000876,0.995617879053462,PERMA,SN217,N
4,0.256086107116698,0.973461650627005,0.104719782044166,1,4,3,0.145172443345531,0.0520353262928748,0.749670282924732,-1.68772014875958,0.930619564942834,0.104719782044166,0.989647127442403,0.998104403616215,PERPA,SN217,N
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,SPEGEN,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,SPEIO,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,SPEFRA,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,SPEALT,SN217,N
2,0.497323380115364,0.551872950112204,0.992221995910873,1,2,1,0.687755878955183,0.494618394093314,0,0,0.010763211813373,0.992221995910873,1,1,NONNI,SN217,N
5,0.912843271741313,0.492924985462299,0.723901888931899,1,5,4,1.16507514492966,0.642133141483646,0.388745746481058,-1.78806283335322,0.197333573145442,0.723901888931899,0.791820120178329,0.940492343477418,NNONNI,SN217,S
2,0.101461452091206,0.98959938366718,0.0834374218979782,1,2,1,0.0578344137417742,0.0205848870254344,0,0,0.958830225949131,0.0834374218979782,1,1,NLON,SN217,N
5,0.909951469269194,0.495004897159647,0.721384888928684,1,5,4,1.16102418969889,0.640053950295508,0.395111909514211,-1.79144652514086,0.199932562130615,0.721384888928684,0.79588638589618,0.940646425073457,NONLON,SN217,S
6,0.967715328432085,0.508558917197452,0.721057918341672,0,5,5,1.29196235305056,0.658506366891152,0.856497001996818,-0.994306089290849,0.209792359730618,0.721057918341672,0.756966560509554,0.856886942675159,VEDNON,SN217,S
6,1.0019717774488,0.472564612326044,0.749167725557209,0,5,5,1.34232836630717,0.686113616511666,0.726748177362186,-1.11518934943173,0.176663660186001,0.749167725557209,0.707952286282306,0.867992047713718,TELNON,SN217,S
1,0,1,0,1,1,0,0,0,0,0,NA,0,1,1,INTFIG,SN217,N
1,0,1,0,2,2,0,0,0,0,0,NA,0,1,1,INTORF,SN217,N
1,0,1,0,3,3,0,0,0,0,0,NA,0,1,1,INTFRA,SN217,N
1,0,1,0,4,4,0,0,0,0,0,NA,0,1,1,INTCUG,SN217,N
1,0,1,0,5,5,0,0,0,0,0,NA,0,1,1,INTNNON,SN217,N
1,0,1,0,6,6,0,0,0,0,0,NA,0,1,1,INTNZIO,SN217,N
1,0,1,0,7,7,0,0,0,0,0,NA,0,1,1,INTCON,SN217,N
1,0,1,0,8,8,0,0,0,0,0,NA,0,1,1,INTPART,SN217,N
1,0,1,0,9,9,0,0,0,0,0,NA,0,1,1,INTNUGE,SN217,N
1,0,1,0,10,10,0,0,0,0,0,NA,0,1,1,INTGEN,SN217,N
1,0,1,0,11,11,0,0,0,0,0,NA,0,1,1,INTZIO,SN217,N
1,0,1,0,12,12,0,0,0,0,0,NA,0,1,1,INTSUO,SN217,N
1,0,1,0,13,13,0,0,0,0,0,NA,0,1,1,INTNON,SN217,N
1,0,1,0,14,14,0,0,0,0,0,NA,0,1,1,INTBIS,SN217,N
2,0.499010658814438,0.531598362317078,0.997117142784645,1,2,1,0.691148936209165,0.498003086997757,0,0,0.00399382600448537,0.997117142784645,1,1,PARENT,SN217,N
7,1.68292211149531,0.321701477330616,0.846501609898369,1,7,6,1.6472160738929,0.767722608449904,0.562354301622212,-1.70229015635203,0.104323623475111,0.846501609898369,0.627865511971472,0.767447784004075,NZIIM,SN217,S
7,1.65178068473814,0.383832335329341,0.809431758014176,1,7,6,1.57508147288747,0.742225250098605,0.723234068843303,-1.37203541817919,0.134070541551627,0.809431758014176,0.67125748502994,0.795808383233533,NZIACOM,SN217,S
12,3.06274932449897,0.252115059221658,0.831090273376512,1,12,11,2.06518174688742,0.843237787053977,0.86813510802731,-0.751249366594814,0.0801042323047528,0.831090273376512,0.46256345177665,0.615693739424704,NCUGM,SN217,S
